indberetningsdato,indberetter_navn,produkt_id,produkt_mrke_produkt_navn,produkt_type,Reference_ID_sam,,,,
17-08-2017,CloudOhms,00274-17-01001,Asmodus - Minikin V2 180W,Other,,,,,
17-08-2017,CloudOhms,00274-17-01002,Asmodus - CKS Stride 80W MOD,Other,,,,,
17-08-2017,CloudOhms,00274-17-02001,Cthulhu - CETO RDA,Other,,,,,
17-08-2017,CloudOhms,00274-17-01003,Lost Vape - Paranormal DNA75C MOD,Other,,,,,
17-08-2017,CloudOhms,00274-17-02002,Cthulhu - Azathoth RDA,Other,,,,,
08-01-2017,Electronic Cigarettes Europe GmbH ,01507-16-00089,DanSmoke - Max™ Blå,Electronic cigarette – Rechargeable, device only Any rechargeable which can also be used as a refillable should be reported under the refillable category. ,,,,
08-01-2017,Electronic Cigarettes Europe GmbH ,01507-16-00091,DanSmoke - Max™ Rød,Electronic cigarette – Rechargeable, device only Any rechargeable which can also be used as a refillable should be reported under the refillable category. ,,,,
08-01-2017,Electronic Cigarettes Europe GmbH ,01507-16-00092,DanSmoke - Max™ Hvid,Electronic cigarette – Rechargeable, device only Any rechargeable which can also be used as a refillable should be reported under the refillable category. ,,,,
28-11-2017,Asmodus,02402-17-00003,Asmodus - Minikin Reborn,Electronic cigarette – Rechargeable, device only Any rechargeable which can also be used as a refillable should be reported under the refillable category. ,,,,
28-06-2017,Elekcig AB,01238-17-07516,Clear mouthpiece for Joyetech eGo One,Other,,,,,
10-04-2018,Elekcig AB,01238-18-02213,Vaporesso - Swag Mod,Electronic cigarette – Rechargeable, device only Any rechargeable which can also be used as a refillable should be reported under the refillable category. ,,,,
10-04-2018,Elekcig AB,01238-18-02212,Vaporesso - Revenger X Mod,Electronic cigarette – Rechargeable, device only Any rechargeable which can also be used as a refillable should be reported under the refillable category. ,,,,
28-11-2017,Asmodus,02402-16-00001,Asmodus - Minikin V2,Electronic cigarette – Rechargeable, device only Any rechargeable which can also be used as a refillable should be reported under the refillable category. ,,,,
21-08-2018,Danish Trade ApS,03183-18-00002,YUP RDA,Other,,,,,
21-06-2017,Efuma Aps,00219-17-06338,Neutron RDA Atomizer,Other,,,,,
03-05-2017,Efuma Aps,00219-17-08240,GeekVape Black Ring Karma Mechanical MOD W/O Battery,Other,,,,,
03-05-2017,Efuma Aps,00219-17-10228,6000mAh 234W IJOY Captain PD270 TC BOX MOD - Black,Other,,,,,
23-04-2017,Efuma Aps,00219-17-09618,228W eVic Primo 2.0 TC Box MOD W/O Battery,Other,,,,,
16-08-2017,Efuma Aps,00219-17-11514,200W Asvape Michael TC Box MOD (Devils Night Edition),Other,,,,,
15-08-2017,Efuma Aps,00219-17-11389,VGOD Elite MECH MOD,Other,,,,,
21-04-2017,Efuma Aps,00219-17-04836,iJust 2 Battery - 2600mAh,Other,,,,,
21-04-2017,Efuma Aps,00219-17-05907,iJust S Battery - Black,Other,,,,,
20-09-2018,Elekcig AB,01238-18-01700,SMY - SMY SDNA 75W TC Mod,Electronic cigarette – Rechargeable, device only Any rechargeable which can also be used as a refillable should be reported under the refillable category. ,,,,
20-09-2018,Elekcig AB,01238-18-01571,Kangertech - KBOX TC Mod 120W,Electronic cigarette – Rechargeable, device only Any rechargeable which can also be used as a refillable should be reported under the refillable category. ,,,,
20-09-2018,Elekcig AB,01238-18-01662,Eleaf - Eleaf 200W iStick TC Express Kit,Electronic cigarette – Rechargeable, device only Any rechargeable which can also be used as a refillable should be reported under the refillable category. ,,,,
20-09-2018,Elekcig AB,01238-18-01389,Eleaf - iStick TC 40W,Electronic cigarette – Rechargeable, device only Any rechargeable which can also be used as a refillable should be reported under the refillable category. ,,,,
20-06-2018,Subohm AB,03485-18-00001,SUBOHM - KICK MTL,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,,,,,
20-06-2018,Subohm AB,03485-18-00002,SUBOHM - KICK POD,Individual part of electronic cigarette capable of containing e-liquid.,03485-18-00001,,,,
10-01-2019,Subohm AB,03485-18-10001,SUBOHM - KICK MTL MAX,Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.,03485-18-00001,,,,
10-01-2019,Subohm AB,03485-18-10002,SUBOHM - KICK MTL MAX POD,Individual part of electronic cigarette capable of containing e-liquid.,03485-18-00001,,,,
25-08-2017,Efuma Aps,00219-17-11928,COV Mega Volt Box Mod,Other,,,,,
13-01-2017,Efuma Aps,00219-16-05742,Sundbygaard - Twist 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
13-01-2017,Efuma Aps,00219-16-05722,Sundbygaard - Menthol 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
13-01-2017,Efuma Aps,00219-16-05712,Sundbygaard - Vingummi Lakrids 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
16-01-2017,Efuma Aps,00219-16-05702,Sundbygaard - Kloak 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
13-01-2017,Efuma Aps,00219-16-05701,Sundbygaard - Kloak 12 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
13-01-2017,Efuma Aps,00219-16-05700,Sundbygaard - Kloak 6 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
10-02-2017,Efuma Aps,00219-16-05697,Sundbygaard - Hvid lakrids 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
13-01-2017,Efuma Aps,00219-16-05692,Sundbygaard - Hindbærmint 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
13-01-2017,Efuma Aps,00219-16-05691,Sundbygaard - Hindbærmint 12 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
13-01-2017,Efuma Aps,00219-16-05690,Sundbygaard - Hindbærmint  6 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
13-01-2017,Efuma Aps,00219-16-05685,Sundbygaard - Granatæble 6 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
13-01-2017,Efuma Aps,00219-16-05682,Sundbygaard - Cigaret 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
13-01-2017,Efuma Aps,00219-16-05680,Sundbygaard - Cigaret 6 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
13-01-2017,Efuma Aps,00219-16-05677,Sundbygaard - Blå Fugl 18 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
13-01-2017,Efuma Aps,00219-16-05670,Sundbygaard - Ananas 6 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
09-11-2018,Efuma Aps,00219-18-18274,Nordik by Vapeson - 2x1.5ml e-pods, Virginia Tobacco - 18 mg/ml,Refill container/cartridge containing e-liquid.,00219-18-18519; 00409-16-20553,,,
14-08-2018,Efuma Aps,00219-18-16929,UWELL - UWELL Crown 3 Replacement Coils - 0.5ohm,Individual part of electronic cigarette capable of containing e-liquid.,00219-17-92002,,,,
14-08-2018,Efuma Aps,00219-18-16928,UWELL - UWELL Crown 3 Replacement Coils - 0.4ohm,Individual part of electronic cigarette capable of containing e-liquid.,00219-17-91004,,,,
08-11-2018,Efuma Aps,00219-18-18212,Nordik by Vapeson - 2x1.5ml e-pods, Extreme - 18 mg/ml,Refill container/cartridge containing e-liquid.,00409-16-20023; 00219-18-18519,,,
20-11-2016,Locotin Aps,00701-16-00057,Locotin - Nikotinbase 70VG-30PG 12,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00057,ecodamp - Nikotinbase 70VG-30PG 12,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00055,Locotin - Nikotinbase 70VG-30PG 6,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00055,ecodamp - Nikotinbase 70VG-30PG 6,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00050,Locotin - Nikotinbase 50VG-50PG 9,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00050,ecodamp - Nikotinbase 50VG-50PG 9,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00056,Locotin - Nikotinbase 70VG-30PG 9,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00056,ecodamp - Nikotinbase 70VG-30PG 9,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00054,Locotin - Nikotinbase 70VG-30PG 3,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00054,ecodamp - Nikotinbase 70VG-30PG 3,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00051,Locotin - Nikotinbase 50VG-50PG 12,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00051,ecodamp - Nikotinbase 50VG-50PG 12,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00060,Locotin - Nikotinbase VG 18,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00060,ecodamp - Nikotinbase VG 18,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00049,Locotin - Nikotinbase 50VG-50PG 6,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00049,ecodamp - Nikotinbase 50VG-50PG 6,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00047,Locotin - Nikotinbase 50VG-50PG 3,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00047,ecodamp - Nikotinbase 50VG-50PG 3,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00058,Locotin - Nikotinbase 70VG-30PG 18,Refill container/cartridge containing e-liquid.,,,,,
20-11-2016,Locotin Aps,00701-16-00058,ecodamp - Nikotinbase 70VG-30PG 18,Refill container/cartridge containing e-liquid.,,,,,
27-10-2016,Decadent Vapours Ltd,00752-16-00246,Decadent Vapours Nicotine Boost 50/50 1.8%,Refill container/cartridge containing e-liquid.,,,,,
24-04-2019,Subohm AB,03485-19-30034,Uwell - Nunchaku tank 2ml,Electronic cigarette – Refillable, device only.,02828-19-80041,,,
25-04-2019,Insano Aps,02828-19-40046,Joyetech - BFL-1 ,Other,02828-19-80050,,,,
02-11-2016,Decadent Vapours Ltd,00752-16-00248,Decadent Vapours Nicotine Boost VG 1.8%,Refill container/cartridge containing e-liquid.,,,,,
26-04-2019,Efuma Aps,00219-19-21300,Aspire - 1.9ml K1 Plus Tank,Individual part of electronic cigarette capable of containing e-liquid.,00219-17-93003,,,,
13-07-2017,CloudOhms,00274-17-00216,Aspire - Speeder 200W Mod,Other,,,,,
13-01-2017,Efuma Aps,00219-16-05711,Sundbygaard - Vingummi Lakrids 12 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
13-01-2017,Efuma Aps,00219-16-05736,Sundbygaard - Hyldeblomst 12 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
05-11-2018,Efuma Aps,00219-18-18236,Nordik by Vapeson - 2x1.5ml e-pods, HS Menthol Sensation - 12 mg/ml,Refill container/cartridge containing e-liquid.,00219-18-18519; 00409-16-20362,,,
02-05-2019,Subohm AB,03485-19-40072,Eleaf - EC2 0.5ohm coil,Other,02828-19-80042,,,,
13-01-2017,Efuma Aps,00219-16-05731,Sundbygaard - Skovbær 12 mg/ml,Refill container/cartridge containing e-liquid.,,,,,
02-05-2019,Subohm AB,03485-19-40071,Eleaf - EC2 0.30ohm coil,Other,02828-19-80042,,,,
02-05-2019,Subohm AB,03485-19-40073,Eleaf - EC-N 0,15ohm coil,Other,02828-19-80042,,,
02-05-2019,Subohm AB,03485-19-40068,Eleaf - HW1-C 0.25ohm coil,Other,02828-19-80042,,,,
02-05-2019,Subohm AB,03485-19-40055,Eleaf - HW-M coil 0.15ohm,Other,02828-19-80041,,,,
02-05-2019,Subohm AB,03485-19-40054,Eleaf - HW-N coil 0.2ohm,Other,02828-19-80041,,,,
03-05-2019,Efuma Aps,00219-19-17635,Aspire Slym - 3x1.8ml e-pods, Sundbygaard Tobak - 12mg/ml,Refill container/cartridge containing e-liquid.,00219-19-17634; 00219-16-05726,,,
03-05-2019,Efuma Aps,00219-19-17638,Aspire Slym  - 3x1.8ml e-pods, Sundbygaard Twist - 12mg/ml,Refill container/cartridge containing e-liquid.,00219-16-05741; 00219-19-17634,,,
03-05-2019,Efuma Aps,00219-19-17634,Aspire Slym  - 3x1.8ml e-pods, Sundbygaard Menthol - 12mg/ml,Refill container/cartridge containing e-liquid.,,,,
